query_id,user_id,query_type,candidate_count,positive_personalization_event_count,zero_personalization_event_count,personalization_event_weight_sum,full_graph_ppr_score_sum,event_only_ppr_score_sum,component_count
tokyo_51516_semantic,51516,semantic,33,33,0,1,1,0.734197644880255,1
tokyo_51516_temporal_spatial,51516,temporal_spatial,33,33,0,1,1,0.733909523068931,1
tokyo_52894_relational_after,52894,relational_after,43,43,0,1,1,0.724575506033909,8
tokyo_52894_semantic,52894,semantic,43,43,0,1,1,0.724113435635643,8
tokyo_52894_temporal_spatial,52894,temporal_spatial,43,43,0,1,1,0.724191061653829,8
tokyo_53205_relational_after,53205,relational_after,40,40,0,1,1,0.734463702806768,1
tokyo_53205_semantic,53205,semantic,40,40,0,1,1,0.73437960001297,1
tokyo_53205_temporal_spatial,53205,temporal_spatial,40,40,0,1,1,0.734488345226814,1
tokyo_53405_relational_after,53405,relational_after,26,26,0,1,1,0.726361521432451,5
tokyo_53405_semantic,53405,semantic,26,26,0,1,1,0.726244065153812,5
tokyo_53405_temporal_spatial,53405,temporal_spatial,26,26,0,1,1,0.726007798490924,5
tokyo_55985_relational_after,55985,relational_after,30,30,0,1,1,0.731728329437657,1
tokyo_55985_semantic,55985,semantic,30,30,0,1,1,0.731668992959281,1
tokyo_55985_temporal_spatial,55985,temporal_spatial,30,30,0,1,1,0.731716593525048,1
tokyo_59554_relational_after,59554,relational_after,23,23,0,1,1,0.72946660856991,1
tokyo_59554_semantic,59554,semantic,23,23,0,1,1,0.72924566822444,1
tokyo_59554_temporal_spatial,59554,temporal_spatial,23,23,0,1,1,0.729943877258174,1
tokyo_60393_relational_after,60393,relational_after,170,170,0,1,1,0.753081738238297,1
tokyo_60393_semantic,60393,semantic,170,170,0,1,1,0.753455713473448,1
tokyo_60393_temporal_spatial,60393,temporal_spatial,170,170,0,1,1,0.753373967894475,1
tokyo_70564_relational_after,70564,relational_after,106,106,0,1,1,0.742771243765553,2
tokyo_70564_semantic,70564,semantic,106,106,0,1,1,0.74270598626391,2
tokyo_70564_temporal_spatial,70564,temporal_spatial,106,106,0,1,1,0.742751843280304,2
tokyo_70703_relational_after,70703,relational_after,47,47,0,1,1,0.731643624525571,4
tokyo_70703_semantic,70703,semantic,47,47,0,1,1,0.731681522191201,4
tokyo_70703_temporal_spatial,70703,temporal_spatial,47,47,0,1,1,0.731730773415034,4
tokyo_72210_relational_after,72210,relational_after,35,35,0,1,1,0.730978885534537,2
tokyo_72210_semantic,72210,semantic,35,35,0,1,1,0.730946449137588,2
tokyo_72210_temporal_spatial,72210,temporal_spatial,35,35,0,1,1,0.730751999882469,2
tokyo_72444_relational_after,72444,relational_after,29,29,0,1,1,0.734181270102856,1
tokyo_72444_semantic,72444,semantic,29,29,0,1,1,0.734199029245481,1
tokyo_72444_temporal_spatial,72444,temporal_spatial,29,29,0,1,1,0.733945611658165,1
tokyo_74188_relational_after,74188,relational_after,39,39,0,1,1,0.736619779422677,4
tokyo_74188_semantic,74188,semantic,39,39,0,1,1,0.736091536205598,4
tokyo_74188_temporal_spatial,74188,temporal_spatial,39,39,0,1,1,0.736053999467484,4
tokyo_74982_relational_after,74982,relational_after,24,24,0,1,1,0.722648803775384,4
tokyo_74982_semantic,74982,semantic,24,24,0,1,1,0.722708588821783,4
tokyo_74982_temporal_spatial,74982,temporal_spatial,24,24,0,1,1,0.72248556581679,4
tokyo_78286_relational_after,78286,relational_after,76,76,0,1,1,0.74579811226865,1
tokyo_78286_semantic,78286,semantic,76,76,0,1,1,0.745729505247362,1
tokyo_78286_temporal_spatial,78286,temporal_spatial,76,76,0,1,1,0.745634114734661,1
tokyo_79139_relational_after,79139,relational_after,32,32,0,1,1,0.742432543046206,1
tokyo_79139_semantic,79139,semantic,32,32,0,1,1,0.742441624854748,1
tokyo_79139_temporal_spatial,79139,temporal_spatial,32,32,0,1,1,0.742520557392428,1
tokyo_79719_relational_after,79719,relational_after,57,57,0,1,1,0.735833903829219,2
tokyo_79719_semantic,79719,semantic,57,57,0,1,1,0.735794953827175,2
tokyo_79719_temporal_spatial,79719,temporal_spatial,57,57,0,1,1,0.735968717388434,2
tokyo_80051_relational_after,80051,relational_after,34,34,0,1,1,0.722606687296891,2
tokyo_80051_semantic,80051,semantic,34,34,0,1,1,0.722699916378766,2
tokyo_80051_temporal_spatial,80051,temporal_spatial,34,34,0,1,1,0.722523791477651,2
tokyo_80415_relational_after,80415,relational_after,25,25,0,1,1,0.732667893097343,1
tokyo_80415_semantic,80415,semantic,25,25,0,1,1,0.73257835541756,1
tokyo_80415_temporal_spatial,80415,temporal_spatial,25,25,0,1,1,0.732511737015486,1
tokyo_80480_relational_after,80480,relational_after,38,38,0,1,1,0.737300592262272,1
tokyo_80480_semantic,80480,semantic,38,38,0,1,1,0.737255586225976,1
tokyo_80480_temporal_spatial,80480,temporal_spatial,38,38,0,1,1,0.737463524127079,1
tokyo_86988_relational_after,86988,relational_after,47,47,0,1,1,0.742012344292455,1
tokyo_86988_semantic,86988,semantic,47,47,0,1,1,0.742041840115022,1
tokyo_86988_temporal_spatial,86988,temporal_spatial,47,47,0,1,1,0.74205345308179,1
tokyo_87391_temporal_spatial,87391,temporal_spatial,20,20,0,1,1,0.733056593424017,1
tokyo_88625_relational_after,88625,relational_after,32,32,0,1,1,0.73354802103141,3
tokyo_88625_semantic,88625,semantic,32,32,0,1,1,0.732984669184494,3
tokyo_88625_temporal_spatial,88625,temporal_spatial,32,32,0,1,1,0.733164844212233,3
tokyo_88793_relational_after,88793,relational_after,50,50,0,1,1,0.729679291553539,4
