query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_19379_semantic,19379,2,2,0.0259358872062593,0.0259358872333171
tokyo_19379_temporal_spatial,19379,1,78,0.975082925095591,0.975082925066636
tokyo_19379_temporal_spatial,19379,2,2,0.0249170749044089,0.0249170749333644
tokyo_210254_relational_after,210254,1,2,0.067940071241498,0.0679400712486661
tokyo_210254_relational_after,210254,2,4,0.135649374004159,0.135649374001972
tokyo_210254_relational_after,210254,3,18,0.626236061758218,0.62623606173824
tokyo_210254_relational_after,210254,4,3,0.102322395340431,0.102322395348219
tokyo_210254_relational_after,210254,5,2,0.0678520976556938,0.0678520976629028
tokyo_210254_semantic,210254,1,2,0.0696433131050722,0.069643313117822
tokyo_210254_semantic,210254,2,4,0.137163575699765,0.13716357569398
tokyo_210254_semantic,210254,3,18,0.620082829741279,0.620082829707053
tokyo_210254_semantic,210254,4,3,0.104169817180594,0.10416981719445
tokyo_210254_semantic,210254,5,2,0.0689404642732906,0.068940464286695
tokyo_210254_temporal_spatial,210254,1,2,0.070285196348894,0.07028519635497
tokyo_210254_temporal_spatial,210254,2,4,0.14057084466034,0.140570844655861
tokyo_210254_temporal_spatial,210254,3,18,0.619425062124399,0.619425062107592
tokyo_210254_temporal_spatial,210254,4,3,0.100815206116941,0.100815206125431
tokyo_210254_temporal_spatial,210254,5,2,0.0689036907494264,0.0689036907561457
tokyo_223807_relational_after,223807,1,21,0.811349944067155,0.811349944052282
tokyo_223807_relational_after,223807,2,5,0.188650055932845,0.188650055947718
tokyo_223807_semantic,223807,1,21,0.808646459270543,0.808646459243316
tokyo_223807_semantic,223807,2,5,0.191353540729457,0.191353540756684
tokyo_223807_temporal_spatial,223807,1,21,0.807424616235224,0.807424616209135
tokyo_223807_temporal_spatial,223807,2,5,0.192575383764776,0.192575383790865
tokyo_2309_relational_after,2309,1,34,1,1
tokyo_2309_semantic,2309,1,34,1,1
tokyo_2309_temporal_spatial,2309,1,34,1,1
tokyo_23925_relational_after,23925,1,43,1,1
tokyo_23925_semantic,23925,1,43,1,1
tokyo_23925_temporal_spatial,23925,1,43,1,1
tokyo_24620_relational_after,24620,1,70,1,1
tokyo_24620_temporal_spatial,24620,1,70,1,1
tokyo_24664_relational_after,24664,1,2,0.0281536524405265,0.02815365245671
tokyo_24664_relational_after,24664,2,58,0.842317801008936,0.842317800939916
tokyo_24664_relational_after,24664,3,2,0.0292382273987455,0.0292382274129088
tokyo_24664_relational_after,24664,4,4,0.0571602467185363,0.0571602467395111
tokyo_24664_relational_after,24664,5,3,0.043130072433256,0.0431300724509539
tokyo_24664_semantic,24664,1,2,0.0292510998955255,0.0292510999096648
tokyo_24664_semantic,24664,2,58,0.840589718282826,0.840589718217025
tokyo_24664_semantic,24664,3,2,0.0296064988806619,0.0296064988941393
tokyo_24664_semantic,24664,4,4,0.0583414440674532,0.0583414440862279
tokyo_24664_semantic,24664,5,3,0.0422112388735336,0.042211238892943
tokyo_24664_temporal_spatial,24664,1,2,0.0286335402059814,0.028633540221271
tokyo_24664_temporal_spatial,24664,2,58,0.841035616578747,0.841035616512115
tokyo_24664_temporal_spatial,24664,3,2,0.0295941451491597,0.02959414516266
tokyo_24664_temporal_spatial,24664,4,4,0.0581797895536177,0.0581797895726935
tokyo_24664_temporal_spatial,24664,5,3,0.0425569085124944,0.0425569085312599
tokyo_24765_relational_after,24765,1,37,0.733692384341784,0.73369238429603
tokyo_24765_relational_after,24765,2,2,0.0387666653845316,0.0387666653921807
tokyo_24765_relational_after,24765,3,6,0.113105409960396,0.113105409973817
tokyo_24765_relational_after,24765,4,2,0.038586534028354,0.0385865340361709
tokyo_24765_relational_after,24765,5,2,0.0377039751879837,0.0377039751966226
tokyo_24765_relational_after,24765,6,2,0.0381450310969505,0.0381450311051786
tokyo_24765_semantic,24765,1,37,0.720814188588272,0.720814188554511
tokyo_24765_semantic,24765,2,2,0.0386357415076747,0.0386357415154458
tokyo_24765_semantic,24765,3,6,0.119952719477568,0.119952719484612
tokyo_24765_semantic,24765,4,2,0.0418753597764022,0.0418753597811561
tokyo_24765_semantic,24765,5,2,0.0410607149857126,0.0410607149912253
tokyo_24765_semantic,24765,6,2,0.0376612756643712,0.0376612756730498
tokyo_24765_temporal_spatial,24765,1,37,0.72565473661632,0.725654736578051
